Warning : License for product VCSRuntime_Net(725) will expire within 29 days, on: 23-nov-2022.

If you would like to temporarily disable this message, set 
 the VCS_LIC_EXPIRE_WARNING environment variable to the number of days
before expiration that you want this message to start (the minimum is 0).
Chronologic VCS simulator copyright 1991-2020
Contains Synopsys proprietary information.
Compiler version Q-2020.03-SP2_Full64; Runtime version Q-2020.03-SP2_Full64;  Oct 26 17:01 2022
Preloading hehe_tb.magicmemory from isa/build/hex/rv64ui/add.hex
VCD+ Writer Q-2020.03-SP2_Full64 Copyright (c) 1991-2020 by Synopsys Inc.
*Verdi* Loading libsscore_vcs202003.so
FSDB Dumper for VCS, Release Verdi_Q-2020.03-SP2, Linux x86_64/64bit, 08/31/2020
(C) 1996 - 2020 by Synopsys, Inc.
*Verdi* : Create FSDB file './logs/waves.fsdb'
*Verdi* : Begin traversing the scope (hehe_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +struct dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +mda dumping.
*Verdi* : End of traversing.
*Verdi* : Begin traversing the scopes, layer (0).
*Verdi* : Enable +all dumping.
*Verdi* : End of traversing.
*Verdi* : fsdbDumpon - All FSDB files at 0 ps.
 05c0006f 80000000 
 00000093 8000005c 
 00000113 80000060 
 00000193 80000064 
 00000213 80000068 
 00000293 8000006c 
 00000313 80000070 
 00000393 80000074 
 00000413 80000078 
 00000493 8000007c 
 00000513 80000080 
 00000593 80000084 
 00000613 80000088 
 00000693 8000008c 
 00000713 80000090 
 00000793 80000094 
 00000813 80000098 
 00000893 8000009c 
 00000913 800000a0 
 00000993 800000a4 
 00000a13 800000a8 
 00000a93 800000ac 
 00000b13 800000b0 
 00000b93 800000b4 
 00000c13 800000b8 
 00000c93 800000bc 
 00000d13 800000c0 
 00000d93 800000c4 
 00000e13 800000c8 
 00000e93 800000cc 
 00000f13 800000d0 
 00000f93 800000d4 
 f1402573 800000d8 
 00051063 800000dc 
 00000297 800000e0 
 01028293 800000e4 
 30529073 800000e8 
 18005073 800000ec 
 00000297 800000f0 
 02428293 800000f4 
 30529073 800000f8 
 0010029b 800000fc 
 03529293 80000100 
 fff28293 80000104 
 3b029073 80000108 
 30405073 80000114 
 00000297 80000118 
 01428293 8000011c 
 30529073 80000120 
 30205073 80000124 
 00000193 8000012c 
 00000297 80000130 
 ed428293 80000134 
 30529073 80000138 
 00100513 8000013c 
 01f51513 80000140 
 00055c63 80000144 
 80000297 8000015c 
 ea428293 80000160 
 00028a63 80000164 
 30005073 80000178 
 00000297 8000017c 
 01428293 80000180 
 34129073 80000184 
 f1402573 80000188 
 30200073 8000018c 
 00200193 80000190 
 00000093 80000194 
 00000113 80000198 
 00208733 8000019c 
 00000393 800001a0 
 4e771063 800001a4 
 00300193 800001a8 
 00100093 800001ac 
 00100113 800001b0 
 00208733 800001b4 
 00200393 800001b8 
